восточная тема;Flamenco;1 13 0 -3 0 1 2 18 17 25 36 33 32 29 26 25 ;1 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 1 1 ;
лайлай;Minor;1 -1 -3 -1 6 -3 -4 -8 -4 -3 -4 -6 -4 -6 -8 -11 ;1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 ;
носа носа;Major;1 5 8 13 0 5 8 12 -2 1 5 10 6 5 3 1 ;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ;
Nirvana;Minor;1 8 11 13 4 11 13 11 9 8 9 8 6 4 6 8 6 4 3 8 11 13 4 11 13 11 9 8 9 8 6 4 6 8 6 4 3 4 3 4 3 4 3 4 3 1 4 3 4 3 4 3 4 3 1 ;1 0 1 1 0 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 ;
прикольно блюз;Other;1 7 7 11 6 8 11 16 8 4 -6 -11 -13 -11 -17 -8 -11 ;1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 ;
восток - дело тонкое;Other;1 2 1 0 -7 -10 -11 -12 1 2 -12 -11 -10 -11 -10 1 ;1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 ;
2-ая мелодия;Minor;1 -1 11 8 4 3 4 -9 -8 ;1 0 0 1 1 1 1 1 0 0 1 1 0 1 ;
funky;Major;1 10 13 17 20 29 25 20 6 10 8 6 12 13 ;0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 ;
искренность;Flamenco;1 0 1 2 1 0 8 6 8 9 8 9 6 5 6 ;0 1 0 0 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 ;
водопад;Flamenco2;1 2 1 -1 1 2 -6 -7 -6 -4 -4 -3 -1 1 2 5 8 2 13 14 13 -1 1 2 5 21 23 25 23 26 30 29 ;1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ;
тадам;Major;1 8 13 25 27 36 46 49 61 65 68 73 84 78 72 17 13 ;1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 ;
блъйус;Blues;1 25 23 20 25 23 31 37 40 42 43 54 55 73 67 73 ;1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 ;
